일자,구리 (달러/톤),알루미늄 (달러/톤),아연 (달러/톤),납 (달러/톤),니켈 (달러/톤),주석 (달러/톤)
2024-01-02,8430,2336.5,2607,2033,16600,25150
2024-01-03,8381,2255.5,2573,2025,16210,25050
2024-01-04,8375,2235.5,2531,2012,16025,24925
2024-01-05,8346.5,2215.5,2514,2024,15705,24200
2024-01-08,8295,2205.5,2486,2030,15930,24400
2024-01-09,8301.5,2200,2503,2033,16150,24300
2024-01-10,8285,2204,2491,2050.5,15980,24025
2024-01-11,8332,2203,2508,2095,16250,24300
2024-01-12,8289,2175,2480,2058,16075,24350
2024-01-15,8238.5,2153,2535,2078,16200,24550
2024-01-16,8280,2158.5,2518.5,2086,15880,24500
2024-01-17,8230,2142,2487,2033,15765,25025
2024-01-18,8189,2130.5,2440.5,2030,15870,25200
2024-01-19,8275,2122,2459,2077,15935,25550
2024-01-22,8254.5,2110,2438.5,2087,15785,25375
2024-01-23,8283.5,2145,2496,2162,16010,26000
2024-01-24,8460,2207.5,2564.5,2175.5,16240,26350
2024-01-25,8486,2188.5,2595,2169,16360,26450
2024-01-26,8447,2212,2582,2149,16535,26550
2024-01-29,8421,2214,2566,2180,16285,26350
2024-01-30,8462,2226.5,2546,2165,16150,26050
2024-01-31,8513,2232,2551.5,2173,16070,26000
2024-02-01,8437,2212.5,2478,2162,15985,25700
2024-02-02,8400,2209.5,2463,2145.5,16125,25475
2024-02-05,8329,2183.5,2419,2132,15805,24780
2024-02-06,8280,2184.5,2417,2119,15620,25075
2024-02-07,8280.5,2195.5,2401,2119,15680,25150
2024-02-08,8202,2214.5,2374,2099,15755,25600
2024-02-09,8091.5,2180.5,2322,2050,15725,25980
2024-02-12,8085.5,2188,2295,2053,15755,26650
2024-02-13,8185,2204,2297,2017,15950,27500
2024-02-14,8133.5,2194,2285.5,2023,16115,27265
2024-02-15,8153,2205,2321.5,2057,16240,27275
2024-02-16,8322,2203,2342,2062,16090,26950
2024-02-19,8364.5,2185,2343,2044.5,16175,26405
2024-02-20,8366.5,2147.5,2327,2041,16135,26250
2024-02-21,8472,2211.5,2360,2082,16505,26310
2024-02-22,8482,2178.5,2358,2085,16985,25975
2024-02-23,8442.5,2157,2348.5,2097,17180,26300
2024-02-26,8373,2140.5,2380,2111,16985,26100
2024-02-27,8396.5,2146,2398,2113,17075,26075
2024-02-28,8340.5,2130,2342,2090,17140,26100
2024-02-29,8389,2163,2382,2067,17435,26375
2024-03-01,8394,2183.5,2362.5,2052.5,17175,26150
2024-03-04,8437,2182.5,2393,2028,17575,26600
2024-03-05,8429.5,2191.5,2418,2023,17600,26500
2024-03-06,8441,2187.5,2446,2060,17475,27050
2024-03-07,8559,2210,2495,2107,17660,27550
2024-03-08,8552.5,2209,2501.5,2125,17845,27485
2024-03-11,8522,2202,2516,2113,17910,27450
2024-03-12,8566,2213.5,2535,2134,18135,27600
2024-03-13,8727,2224,2524,2164,18165,27625
2024-03-14,8791.5,2205,2519.5,2142,17755,28055
2024-03-15,8906.5,2218.5,2524,2107,18000,28410
2024-03-18,8973,2224.5,2515.5,2094,17680,28550
2024-03-19,8875,2202.5,2467,2042,17500,27805
2024-03-20,8790,2231.5,2462,2015.5,17300,26900
2024-03-21,8873.5,2264,2501,2031,17430,27700
2024-03-22,8741,2246.5,2449,1992.5,17160,27550
2024-03-25,8745,2267.5,2437,1992,16865,27525
2024-03-26,8764,2275.5,2425,1982.5,16565,27410
2024-03-27,8696,2238,2366,1968,16330,27355
2024-03-28,8729,2270,2391,1965,16530,27650
2024-04-02,8920,2322.5,2437,2001,17000,27845
2024-04-03,8932,2334,2430,2023,16870,28025
2024-04-04,9257,2394.5,2551.5,2084.5,17230,28450
2024-04-05,9198,2391,2587.5,2091,17475,28705
2024-04-08,9301,2417,2627,2111,17700,29395
2024-04-09,9295.5,2403,2660,2119.5,17780,30585
2024-04-10,9365,2429,2731.5,2139,18585,32925
2024-04-11,9240.5,2410.5,2712,2127.5,17715,31850
2024-04-12,9402,2443,2848,2140.5,17780,32975
2024-04-15,9390,2520.5,2772,2142,17855,32950
2024-04-16,9377,2512,2703,2146,17625,32200
2024-04-17,9434,2581,2788.5,2116,17870,32640
2024-04-18,9617,2600,2812.5,2155,18210,34025
2024-04-19,9749,2645.5,2833,2160,19045,35685
2024-04-22,9814.5,2654,2792.5,2148,19015,35250
2024-04-23,9599,2585,2745,2111,18785,32600
2024-04-24,9671,2585.5,2796,2164,18985,32085
2024-04-25,9791,2586.5,2861.5,2186,18855,32450
2024-04-26,9869,2559.5,2846,2196.5,19180,33125
2024-04-29,9935,2536.5,2882,2177.5,19115,32675
2024-04-30,9973.5,2545,2924.5,2184,18975,32300
2024-05-01,9791,2554.5,2835,2155.5,18620,31150
2024-05-02,9660,2510,2859,2144,18405,31375
2024-05-03,9737,2517,2891,2156,18760,32050
2024-05-07,9847,2512.5,2885,2197,18755,32575
2024-05-08,9740,2488,2860,2187,18510,32650
2024-05-09,9728,2494,2858,2175.5,18625,32400
2024-05-10,9942,2515,2913,2192.5,18725,32895
2024-05-13,10009,2510,2930,2184,18910,32675
2024-05-14,10077,2477.5,2935.5,2201,18940,33300
2024-05-15,10221,2529.5,2954,2228,19050,34100
2024-05-16,10308,2538.5,2936,2227.5,19335,33625
2024-05-17,10398,2544,2929,2237,20735,34190
2024-05-20,10857,2568,3047,2283.5,21270,34575
2024-05-21,10775,2645,3093,2291,21275,34105
2024-05-22,10447,2625,3030,2290,20330,33350
2024-05-23,10290.5,2551,3007,2235,19800,33125
